City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,am timan,11.03,20.28,73.87,16,6,4.74,TD,1583374930
338,lorengau,-2.02,147.27,84.81,68,97,8.79,PG,1583374930
339,camana,-16.62,-72.71,67.03,84,100,3.44,PE,1583374930
340,boende,-0.22,20.87,74.97,74,27,2.51,CD,1583374931
341,tornabe,15.75,-87.55,82.4,78,5,3.67,HN,1583374931
342,poya,-21.35,165.15,81.39,74,47,9.62,NC,1583374931
343,kahului,20.89,-156.47,80.6,65,40,9.17,US,1583374879
344,caravelas,-17.71,-39.25,81.55,84,100,17.11,BR,1583374931
345,gamba,-2.65,10.0,78.4,91,100,3.2,GA,1583374931
346,prado,-17.34,-39.22,81.55,84,100,17.11,BR,1583374931
347,banjar,-8.19,114.97,82.4,94,40,5.82,ID,1583374931
348,buin,-33.73,-70.75,75.2,41,0,6.93,CL,1583374931
349,geraldton,-28.77,114.6,82.4,51,31,16.11,AU,1583374931
350,san isidro,-12.12,-77.05,73.4,83,100,12.75,PE,1583374931
351,batagay-alyta,67.8,130.41,-0.63,84,100,4.72,RU,1583374931
352,venado tuerto,-33.75,-61.97,71.01,72,0,6.26,AR,1583374931
353,san pedro,14.35,121.02,87.01,62,20,6.93,PH,1583374932
354,port blair,11.67,92.75,80.67,75,8,9.57,IN,1583374823
355,sorgun,39.81,35.19,42.13,50,89,5.14,TR,1583374932
356,sibu,2.3,111.82,75.2,88,90,3.36,MY,1583374912
357,roald,62.58,6.13,37.4,86,87,3.36,NO,1583374932
358,lata,40.16,-8.33,61.0,87,40,11.41,PT,1583374932
359,tshane,-24.02,21.87,66.58,59,10,6.15,BW,1583374932
360,plettenberg bay,-34.05,23.37,67.77,73,0,4.68,ZA,1583374932
361,gimli,50.63,-96.99,30.0,99,100,7.0,CA,1583374683
362,bam,29.11,58.36,49.75,37,0,13.02,IR,1583374932
363,cassilandia,-19.11,-51.73,68.4,95,0,2.86,BR,1583374932
364,fairbanks,64.84,-147.72,-7.6,63,20,1.43,US,1583374932
365,vilkaviskis,54.65,23.03,36.79,86,100,4.38,LT,1583374933
366,grindavik,63.84,-22.43,30.2,86,75,10.29,IS,1583374933
367,inuvik,68.35,-133.72,-14.8,68,75,9.17,CA,1583374779
368,lompoc,34.64,-120.46,59.0,87,1,6.93,US,1583374886
369,mareeba,-17.0,145.43,91.99,70,79,10.29,AU,1583374933
370,sola,-13.88,167.55,84.09,69,19,10.13,VU,1583374933
371,juneau,58.3,-134.42,37.4,74,90,16.11,US,1583374933
372,weihai,37.5,122.11,36.18,47,0,6.22,CN,1583374933
373,awbari,26.59,12.78,54.32,35,0,6.46,LY,1583374933
374,pinyug,60.25,47.78,6.55,95,15,5.19,RU,1583374933
375,ko samui,9.54,99.94,86.0,70,20,11.41,TH,1583374708
376,leshan,29.56,103.76,65.23,42,37,1.45,CN,1583374678
377,burgeo,47.62,-57.62,33.4,96,100,39.03,CA,1583374934
378,tigzirt,36.89,4.12,60.4,76,91,6.38,DZ,1583374934
379,takoradi,4.88,-1.76,78.17,94,84,3.44,GH,1583374934
380,beyneu,45.32,55.2,41.52,93,97,5.37,KZ,1583374934
381,aloleng,16.13,119.78,88.84,43,100,8.5,PH,1583374934
382,coihaique,-45.58,-72.07,57.2,82,0,4.7,CL,1583374934
